client_id,company_id,company_name,industry,total_jobs_posted,total_freelancers_hired,freelancer_ids,preferred_experience_level,avg_money_spent_per_project,organization_rating,past_job_ids
user_023,company_001,TechCorp Solutions,E-commerce,14,14,"user_022, user_013, user_024, user_032, user_018, user_045, user_030, user_023, user_034, user_038, user_036, user_014, user_008, user_012",Advanced,107560,84,"job_c0f3a56c, job_88360bb7, job_0f36f449, job_4f30d605, job_b084fde5, job_067ddbca, job_c1aaf9cf, job_9a5292ba, job_a477e622, job_47c528e7, job_aa019649, job_9b24f9d9, job_de4e2563, job_ffb0b974"
user_010,company_022,Hyperlane Technologies,Fintech,15,9,"user_009, user_027, user_043, user_026, user_029, user_007, user_049, user_020, user_034",Advanced,94064,86,"job_1b790f36, job_bbdb8a3c, job_de7c5695, job_8e52e0d2, job_fd035207, job_b81b7efd, job_702cc8c7, job_e5f5dfcf, job_d0626658, job_b5e618fc, job_fad71015, job_5b78b645, job_1943949c, job_9b92a8a7, job_105a2a83"
user_032,company_006,AlphaUp Startups,E-commerce,16,13,"user_027, user_029, user_044, user_032, user_014, user_036, user_047, user_006, user_022, user_003, user_019, user_046, user_023",Advanced,84866,93,"job_39b4409b, job_02f4f76c, job_2fb50ef3, job_b6332024, job_adc95417, job_98ee3cce, job_dcdd322d, job_54a2344d, job_9ba70b22, job_8591b0de, job_c74458a7, job_d55db898, job_ff6a6644, job_37286c67, job_0bf26a55, job_2c4ae5d0"
user_046,company_019,MatrixEdge Pvt Ltd,EdTech,9,7,"user_009, user_016, user_045, user_025, user_047, user_024, user_026",Advanced,71858,70,"job_489cca6b, job_3a1c3da3, job_4fc2e31b, job_5fdc2dbd, job_837c575a, job_967bf0f7, job_f11748d3, job_39214be1, job_368597ec"
user_005,company_024,OrbitWorks Solutions,Fintech,16,14,"user_034, user_048, user_006, user_046, user_016, user_047, user_041, user_027, user_019, user_007, user_002, user_029, user_043, user_037",Advanced,68265,92,"job_4d7bad3b, job_726daea9, job_19b8557a, job_f499717d, job_ac65cef2, job_3d0cae83, job_4312d624, job_55b361e5, job_faf79b49, job_807cd451, job_767a27e2, job_666e294c, job_183e8664, job_278f4fa1, job_94170c46, job_49f60167"
user_003,company_037,OmniLayer Interactive,Healthcare,13,11,"user_044, user_037, user_005, user_042, user_048, user_049, user_033, user_026, user_004, user_029, user_028",Advanced,74536,83,"job_ae71a68d, job_b17f38f3, job_f852de69, job_75967e8a, job_6dfd2208, job_62691c7b, job_c5e4c5cc, job_0cc83a35, job_e859cc69, job_7358eaff, job_97dd5d72, job_55eebc8a, job_f669016d"
user_008,company_007,Remote DAO,Healthcare,9,10,"user_013, user_050, user_020, user_048, user_004, user_019, user_022, user_035, user_012, user_041",Advanced,95475,85,"job_9409a295, job_e69a4240, job_b17585b3, job_d6431ddd, job_54e63c1c, job_817227a6, job_a7041c3a, job_42fe0a0a, job_a8a4395a"
user_029,company_033,UrbanMonk Technologies,E-commerce,21,11,"user_007, user_012, user_014, user_035, user_043, user_017, user_050, user_044, user_021, user_015, user_032",Advanced,83167,61,"job_109a4c4c, job_85652b2e, job_ff1aab77, job_253c938e, job_541861d0, job_c4936be8, job_6435daae, job_8cfd8040, job_71daa910, job_e3315574, job_44058ae1, job_24a9814c, job_376751eb, job_41df9835, job_276113cb, job_ce1541eb, job_48bde0b2, job_dccd0acf, job_3763a58d, job_374c0ad7, job_87e0f4ab"
user_033,company_026,VectorShift Technologies,Fintech,13,12,"user_018, user_015, user_050, user_025, user_034, user_005, user_012, user_022, user_036, user_013, user_049, user_046",Advanced,112889,92,"job_dbfa92c5, job_540119a6, job_9fe9f14b, job_a3c43631, job_9bfe2236, job_e8ae1480, job_5fed7f7c, job_14dfedf9, job_b6938a11, job_0ea3c00b, job_6668ed99, job_561bf12a, job_eb50931f"
user_009,company_015,NextWave Creations,LegalTech,13,13,"user_006, user_042, user_011, user_018, user_003, user_048, user_014, user_037, user_005, user_020, user_015, user_004, user_040",Advanced,94220,92,"job_a7ba7b6b, job_5468ea74, job_a87afd61, job_10a065bf, job_385c3114, job_26d53914, job_4a61a173, job_5b571e6a, job_17829f1b, job_8d2b5a90, job_78e52d8c, job_a962ee07, job_64e71802"
user_019,company_031,SkyForge Web Systems,LegalTech,22,16,"user_002, user_005, user_001, user_034, user_006, user_007, user_015, user_003, user_036, user_047, user_049, user_030, user_045, user_027, user_022, user_035",Advanced,113650,66,"job_df7ab772, job_32937e27, job_e301fc7e, job_3c9b2f6d, job_a2835d8d, job_e9b3aab8, job_e7d26d68, job_f8620425, job_0a179263, job_838a019b, job_a5f5f285, job_a0738565, job_f1dde646, job_7ac55263, job_24ebd2a9, job_d6af9293, job_0f02eda5, job_9eac13dd, job_5048311c, job_e7cb5862, job_51d34564, job_77e92ecd"
user_001,company_022,Hyperlane Technologies,LegalTech,15,10,"user_047, user_021, user_044, user_015, user_030, user_043, user_049, user_050, user_027, user_032",Advanced,94064,82,"job_1b790f36, job_bbdb8a3c, job_de7c5695, job_8e52e0d2, job_fd035207, job_b81b7efd, job_702cc8c7, job_e5f5dfcf, job_d0626658, job_b5e618fc, job_fad71015, job_5b78b645, job_1943949c, job_9b92a8a7, job_105a2a83"
user_007,company_031,SkyForge Web Systems,EdTech,22,15,"user_024, user_003, user_050, user_038, user_031, user_033, user_026, user_042, user_017, user_015, user_023, user_035, user_004, user_030, user_046",Advanced,113650,89,"job_df7ab772, job_32937e27, job_e301fc7e, job_3c9b2f6d, job_a2835d8d, job_e9b3aab8, job_e7d26d68, job_f8620425, job_0a179263, job_838a019b, job_a5f5f285, job_a0738565, job_f1dde646, job_7ac55263, job_24ebd2a9, job_d6af9293, job_0f02eda5, job_9eac13dd, job_5048311c, job_e7cb5862, job_51d34564, job_77e92ecd"
user_044,company_002,FinSys Pvt Ltd,Real Estate,19,14,"user_009, user_018, user_030, user_048, user_008, user_014, user_019, user_016, user_033, user_020, user_017, user_027, user_035, user_006",Advanced,108762,89,"job_5ef92acf, job_4d093d6d, job_49d31ef7, job_447885de, job_1b882f4b, job_e4d9c98e, job_faafa580, job_89cc04c2, job_10c5dc86, job_c99a818a, job_43a983a9, job_362589b4, job_8c0bb2ac, job_ca15f87d, job_b6fee1bc, job_b7b54817, job_12823e97, job_6e36a2fc, job_9daab9a5"
user_014,company_037,OmniLayer Interactive,Healthcare,13,10,"user_003, user_012, user_039, user_029, user_020, user_017, user_047, user_021, user_026, user_049",Advanced,74536,95,"job_ae71a68d, job_b17f38f3, job_f852de69, job_75967e8a, job_6dfd2208, job_62691c7b, job_c5e4c5cc, job_0cc83a35, job_e859cc69, job_7358eaff, job_97dd5d72, job_55eebc8a, job_f669016d"
user_030,company_013,UrbanHive Digital,E-commerce,9,17,"user_047, user_037, user_005, user_015, user_009, user_008, user_006, user_013, user_003, user_026, user_033, user_030, user_004, user_014, user_050, user_010, user_029",Advanced,94889,94,"job_90189350, job_29370dbb, job_4f2952be, job_d9f45011, job_bb0d7505, job_4e90bad5, job_89fafcbd, job_9ee070cf, job_3ab31860"
user_018,company_035,DevCraft Hub,Logistics,17,12,"user_039, user_035, user_018, user_032, user_015, user_009, user_041, user_047, user_026, user_022, user_012, user_001",Advanced,80452,76,"job_994bf925, job_d98eacde, job_d14f5475, job_5c2696d2, job_20f619ae, job_a9c893fa, job_10cce286, job_cd3b9d26, job_98480ea3, job_ccbed475, job_27ed1c98, job_5108e965, job_8961e764, job_a97902f8, job_96b37837, job_d71cf70e, job_5f1964a1"
user_027,company_026,VectorShift Technologies,EdTech,13,10,"user_044, user_014, user_048, user_025, user_002, user_036, user_004, user_042, user_020, user_032",Advanced,112889,68,"job_dbfa92c5, job_540119a6, job_9fe9f14b, job_a3c43631, job_9bfe2236, job_e8ae1480, job_5fed7f7c, job_14dfedf9, job_b6938a11, job_0ea3c00b, job_6668ed99, job_561bf12a, job_eb50931f"
user_021,company_012,CipherGrid Analytics,EdTech,13,11,"user_041, user_034, user_008, user_024, user_040, user_007, user_017, user_021, user_050, user_025, user_047",Expert,91480,82,"job_0004a759, job_1a20400d, job_864d3f48, job_cf2ed11e, job_012a7300, job_a7693143, job_281fb82f, job_ae5de584, job_2c419289, job_e2b4e2ca, job_cdb80ceb, job_f3801dfe, job_ed2d1266"
user_045,company_019,MatrixEdge Pvt Ltd,LegalTech,9,16,"user_011, user_036, user_025, user_031, user_013, user_043, user_039, user_027, user_009, user_007, user_045, user_034, user_016, user_023, user_049, user_001",Advanced,71858,64,"job_489cca6b, job_3a1c3da3, job_4fc2e31b, job_5fdc2dbd, job_837c575a, job_967bf0f7, job_f11748d3, job_39214be1, job_368597ec"
user_048,company_006,AlphaUp Startups,EdTech,16,20,"user_005, user_041, user_015, user_034, user_003, user_050, user_040, user_011, user_047, user_012, user_032, user_046, user_027, user_048, user_039, user_007, user_018, user_022, user_036, user_031",Advanced,84866,92,"job_39b4409b, job_02f4f76c, job_2fb50ef3, job_b6332024, job_adc95417, job_98ee3cce, job_dcdd322d, job_54a2344d, job_9ba70b22, job_8591b0de, job_c74458a7, job_d55db898, job_ff6a6644, job_37286c67, job_0bf26a55, job_2c4ae5d0"
user_016,company_030,NorthStar Automation,Real Estate,15,12,"user_004, user_036, user_045, user_037, user_034, user_049, user_005, user_013, user_042, user_047, user_043, user_002",Intermediate,97928,72,"job_bdec8051, job_bd2fdcc5, job_3e7df80b, job_c610f082, job_89e7fd2b, job_649e5626, job_ab304af3, job_0702cb8c, job_555a716c, job_02741c21, job_9a888809, job_f16703ab, job_78cb50a4, job_2219ba7a, job_6a9d149b"
user_012,company_005,NeonByte Labs,EdTech,17,11,"user_015, user_019, user_025, user_034, user_011, user_014, user_030, user_046, user_037, user_035, user_033",Advanced,100850,89,"job_3af7aba0, job_8f25094e, job_3db3956e, job_58e6afba, job_2419c628, job_2eea06f2, job_bc35e72d, job_14c40e3b, job_7b4e53c8, job_8d444d67, job_779ab3c9, job_7e445da5, job_8e78881f, job_fb126efd, job_c16799f7, job_2b244ff8, job_7ca55a85"
user_006,company_037,OmniLayer Interactive,E-commerce,13,14,"user_013, user_006, user_026, user_037, user_024, user_001, user_020, user_046, user_031, user_044, user_042, user_030, user_014, user_034",Expert,74536,80,"job_ae71a68d, job_b17f38f3, job_f852de69, job_75967e8a, job_6dfd2208, job_62691c7b, job_c5e4c5cc, job_0cc83a35, job_e859cc69, job_7358eaff, job_97dd5d72, job_55eebc8a, job_f669016d"
user_002,company_008,PixelForge Interactive,Real Estate,17,8,"user_046, user_045, user_050, user_020, user_021, user_005, user_026, user_038",Advanced,101199,82,"job_e33c4375, job_c8e59b77, job_7f0c7915, job_9fff2b7d, job_c8691dec, job_8ee7e4b7, job_7e68a349, job_c47093a1, job_3d390f02, job_551738a0, job_ad3e7208, job_6529b296, job_f8de2172, job_dda1a061, job_871c1a75, job_cb717b09, job_4f023882"
user_043,company_026,VectorShift Technologies,EdTech,13,14,"user_015, user_013, user_001, user_042, user_035, user_047, user_009, user_030, user_032, user_046, user_024, user_020, user_050, user_022",Advanced,112889,64,"job_dbfa92c5, job_540119a6, job_9fe9f14b, job_a3c43631, job_9bfe2236, job_e8ae1480, job_5fed7f7c, job_14dfedf9, job_b6938a11, job_0ea3c00b, job_6668ed99, job_561bf12a, job_eb50931f"
user_026,company_007,Remote DAO,Logistics,9,10,"user_008, user_010, user_044, user_015, user_019, user_028, user_021, user_039, user_030, user_005",Advanced,95475,81,"job_9409a295, job_e69a4240, job_b17585b3, job_d6431ddd, job_54e63c1c, job_817227a6, job_a7041c3a, job_42fe0a0a, job_a8a4395a"
user_020,company_017,QuantumVerse Labs,E-commerce,12,10,"user_023, user_015, user_003, user_040, user_031, user_042, user_029, user_044, user_038, user_028",Beginner,74442,67,"job_63a8176d, job_2a05292f, job_20ba9012, job_367857a5, job_82f33eb5, job_13bfcfc1, job_fbde6b43, job_e5ef1ec8, job_66fd979a, job_5ca1b67c, job_136c0a13, job_7520e10d"
user_015,company_005,NeonByte Labs,EdTech,17,15,"user_042, user_049, user_006, user_028, user_024, user_037, user_039, user_034, user_012, user_008, user_046, user_030, user_031, user_026, user_035",Advanced,100850,87,"job_3af7aba0, job_8f25094e, job_3db3956e, job_58e6afba, job_2419c628, job_2eea06f2, job_bc35e72d, job_14c40e3b, job_7b4e53c8, job_8d444d67, job_779ab3c9, job_7e445da5, job_8e78881f, job_fb126efd, job_c16799f7, job_2b244ff8, job_7ca55a85"
user_022,company_019,MatrixEdge Pvt Ltd,LegalTech,9,11,"user_013, user_003, user_043, user_025, user_044, user_021, user_001, user_029, user_050, user_010, user_026",Intermediate,71858,75,"job_489cca6b, job_3a1c3da3, job_4fc2e31b, job_5fdc2dbd, job_837c575a, job_967bf0f7, job_f11748d3, job_39214be1, job_368597ec"
user_042,company_031,SkyForge Web Systems,Fintech,22,12,"user_049, user_002, user_041, user_015, user_033, user_005, user_038, user_006, user_031, user_027, user_040, user_034",Beginner,113650,84,"job_df7ab772, job_32937e27, job_e301fc7e, job_3c9b2f6d, job_a2835d8d, job_e9b3aab8, job_e7d26d68, job_f8620425, job_0a179263, job_838a019b, job_a5f5f285, job_a0738565, job_f1dde646, job_7ac55263, job_24ebd2a9, job_d6af9293, job_0f02eda5, job_9eac13dd, job_5048311c, job_e7cb5862, job_51d34564, job_77e92ecd"
user_011,company_011,BrightPath Software,Fintech,18,11,"user_011, user_014, user_006, user_035, user_002, user_040, user_024, user_016, user_028, user_047, user_037",Expert,109866,87,"job_315e10b8, job_67178b0b, job_c98ea564, job_1cf012c2, job_5e0a18ca, job_7f62aa03, job_2b2e4d57, job_2b07d1e3, job_dbdb228c, job_b95a65ff, job_37a50071, job_99ecd675, job_f4f77a1a, job_fae941c7, job_342d5fa3, job_48eb2f3b, job_f229ad8b, job_f51d2980"
user_034,company_011,BrightPath Software,E-commerce,18,8,"user_041, user_039, user_025, user_021, user_015, user_030, user_014, user_042",Expert,109866,69,"job_315e10b8, job_67178b0b, job_c98ea564, job_1cf012c2, job_5e0a18ca, job_7f62aa03, job_2b2e4d57, job_2b07d1e3, job_dbdb228c, job_b95a65ff, job_37a50071, job_99ecd675, job_f4f77a1a, job_fae941c7, job_342d5fa3, job_48eb2f3b, job_f229ad8b, job_f51d2980"
user_028,company_012,CipherGrid Analytics,Fintech,13,6,"user_015, user_037, user_029, user_005, user_002, user_025",Intermediate,91480,94,"job_0004a759, job_1a20400d, job_864d3f48, job_cf2ed11e, job_012a7300, job_a7693143, job_281fb82f, job_ae5de584, job_2c419289, job_e2b4e2ca, job_cdb80ceb, job_f3801dfe, job_ed2d1266"
user_025,company_029,MetaCore Dynamics,Real Estate,19,15,"user_023, user_050, user_041, user_036, user_031, user_032, user_047, user_034, user_009, user_025, user_045, user_012, user_044, user_033, user_003",Advanced,96284,67,"job_db4fda6f, job_b223d924, job_b640fb3c, job_014ea0be, job_6b8d6b7b, job_0ff433b7, job_cc34dd4b, job_25713dfd, job_53d38778, job_3307bf94, job_a9d32a18, job_e10ba43e, job_493d6b96, job_f42e8cbb, job_cd6f96fc, job_54aa72d2, job_1c9cf30e, job_2e229df6, job_837736df"
user_050,company_033,UrbanMonk Technologies,Logistics,21,12,"user_025, user_027, user_043, user_041, user_045, user_049, user_004, user_038, user_009, user_020, user_005, user_042",Advanced,83167,75,"job_109a4c4c, job_85652b2e, job_ff1aab77, job_253c938e, job_541861d0, job_c4936be8, job_6435daae, job_8cfd8040, job_71daa910, job_e3315574, job_44058ae1, job_24a9814c, job_376751eb, job_41df9835, job_276113cb, job_ce1541eb, job_48bde0b2, job_dccd0acf, job_3763a58d, job_374c0ad7, job_87e0f4ab"
user_024,company_030,NorthStar Automation,E-commerce,15,7,"user_047, user_049, user_034, user_015, user_014, user_016, user_036",Advanced,97928,76,"job_bdec8051, job_bd2fdcc5, job_3e7df80b, job_c610f082, job_89e7fd2b, job_649e5626, job_ab304af3, job_0702cb8c, job_555a716c, job_02741c21, job_9a888809, job_f16703ab, job_78cb50a4, job_2219ba7a, job_6a9d149b"
user_013,company_020,AeroLogic Systems,Logistics,21,10,"user_048, user_001, user_003, user_010, user_033, user_018, user_023, user_037, user_028, user_020",Intermediate,83832,83,"job_fc6c4e22, job_1311f873, job_c8b60125, job_f062e3bb, job_18d0c8cb, job_ca5fbebc, job_617dca32, job_780c6fc1, job_f63df1ee, job_0e7453fe, job_8a96c513, job_172a8618, job_c4ff0e0d, job_ee892740, job_a817b38b, job_175314a7, job_2f29346d, job_a8cc0cae, job_a482972e, job_50401619, job_4086e23e"
user_036,company_037,OmniLayer Interactive,Logistics,13,9,"user_012, user_011, user_001, user_049, user_042, user_014, user_018, user_008, user_023",Advanced,74536,91,"job_ae71a68d, job_b17f38f3, job_f852de69, job_75967e8a, job_6dfd2208, job_62691c7b, job_c5e4c5cc, job_0cc83a35, job_e859cc69, job_7358eaff, job_97dd5d72, job_55eebc8a, job_f669016d"
user_031,company_002,FinSys Pvt Ltd,Real Estate,19,12,"user_005, user_025, user_047, user_003, user_020, user_018, user_046, user_007, user_013, user_049, user_028, user_045",Advanced,108762,82,"job_5ef92acf, job_4d093d6d, job_49d31ef7, job_447885de, job_1b882f4b, job_e4d9c98e, job_faafa580, job_89cc04c2, job_10c5dc86, job_c99a818a, job_43a983a9, job_362589b4, job_8c0bb2ac, job_ca15f87d, job_b6fee1bc, job_b7b54817, job_12823e97, job_6e36a2fc, job_9daab9a5"
user_049,company_022,Hyperlane Technologies,LegalTech,15,11,"user_008, user_040, user_025, user_003, user_020, user_036, user_005, user_016, user_042, user_019, user_038",Beginner,94064,64,"job_1b790f36, job_bbdb8a3c, job_de7c5695, job_8e52e0d2, job_fd035207, job_b81b7efd, job_702cc8c7, job_e5f5dfcf, job_d0626658, job_b5e618fc, job_fad71015, job_5b78b645, job_1943949c, job_9b92a8a7, job_105a2a83"
user_037,company_040,SolaraTech Digital,Real Estate,22,13,"user_041, user_036, user_034, user_020, user_015, user_017, user_046, user_019, user_012, user_021, user_026, user_044, user_018",Advanced,87112,67,"job_81fd2f2e, job_fa2e8f8f, job_50b7f167, job_e49317b1, job_8772971d, job_6cd1f975, job_718c65bd, job_edde9206, job_89d28054, job_9d9c13ae, job_f7fd864d, job_4dec9bb1, job_a261f807, job_716f2182, job_41c8ee16, job_d8c82b2c, job_7ba8b6d7, job_98915648, job_0816d656, job_b647de54, job_06330798, job_2e9641e6"
user_039,company_012,CipherGrid Analytics,LegalTech,13,8,"user_041, user_047, user_024, user_019, user_044, user_025, user_049, user_015",Advanced,91480,63,"job_0004a759, job_1a20400d, job_864d3f48, job_cf2ed11e, job_012a7300, job_a7693143, job_281fb82f, job_ae5de584, job_2c419289, job_e2b4e2ca, job_cdb80ceb, job_f3801dfe, job_ed2d1266"
user_040,company_004,CloudNova Systems,LegalTech,22,13,"user_009, user_031, user_012, user_017, user_024, user_039, user_044, user_015, user_003, user_033, user_021, user_037, user_014",Expert,88764,69,"job_2b586431, job_aa159d8b, job_651584a6, job_84ae4c41, job_2bdfaf21, job_8b75fb80, job_b17edd0b, job_45464032, job_3f942cab, job_66f148cd, job_4347041f, job_bfa66472, job_1fe456df, job_a0f8b821, job_862bbb16, job_53d24427, job_d0817853, job_d025cf20, job_fb132c71, job_cf9b6949, job_200ee68a, job_f31b0edb"
user_041,company_025,RapidScale Ventures,Logistics,23,12,"user_021, user_041, user_006, user_007, user_040, user_002, user_047, user_048, user_039, user_005, user_011, user_044",Beginner,71883,90,"job_a8571ee3, job_e79ded32, job_9059a566, job_08aa8a45, job_014b067c, job_ed4c6480, job_c79d5f60, job_5f08ad54, job_731e29f1, job_7beacf37, job_97fbea11, job_78ca0848, job_79cee9f7, job_bda198b3, job_10b76363, job_ce2e24f9, job_8b5bfaed, job_a439aab6, job_62ad7355, job_53827e17, job_e007ee4f, job_5cd05a8e, job_ecab16a2"
user_017,company_040,SolaraTech Digital,Real Estate,22,12,"user_008, user_025, user_034, user_006, user_039, user_038, user_044, user_043, user_041, user_049, user_016, user_032",Beginner,87112,92,"job_81fd2f2e, job_fa2e8f8f, job_50b7f167, job_e49317b1, job_8772971d, job_6cd1f975, job_718c65bd, job_edde9206, job_89d28054, job_9d9c13ae, job_f7fd864d, job_4dec9bb1, job_a261f807, job_716f2182, job_41c8ee16, job_d8c82b2c, job_7ba8b6d7, job_98915648, job_0816d656, job_b647de54, job_06330798, job_2e9641e6"
user_035,company_025,RapidScale Ventures,Logistics,23,11,"user_023, user_014, user_025, user_044, user_038, user_050, user_037, user_003, user_049, user_012, user_018",Beginner,71883,93,"job_a8571ee3, job_e79ded32, job_9059a566, job_08aa8a45, job_014b067c, job_ed4c6480, job_c79d5f60, job_5f08ad54, job_731e29f1, job_7beacf37, job_97fbea11, job_78ca0848, job_79cee9f7, job_bda198b3, job_10b76363, job_ce2e24f9, job_8b5bfaed, job_a439aab6, job_62ad7355, job_53827e17, job_e007ee4f, job_5cd05a8e, job_ecab16a2"
user_047,company_039,HexaCore Solutions,E-commerce,14,7,"user_028, user_001, user_018, user_047, user_040, user_007, user_032",Advanced,107230,76,"job_2751b91e, job_7711170e, job_cd3bba79, job_0bedbdc5, job_fe038d3b, job_5d1a8b6c, job_ac6a5599, job_e5ecf7f6, job_5d48430d, job_a2a5ce1b, job_ccde1678, job_4f958956, job_ad3dbaa4, job_99fc243d"
user_004,company_031,SkyForge Web Systems,Fintech,22,14,"user_027, user_032, user_025, user_012, user_028, user_016, user_033, user_003, user_047, user_036, user_007, user_039, user_035, user_019",Advanced,113650,75,"job_df7ab772, job_32937e27, job_e301fc7e, job_3c9b2f6d, job_a2835d8d, job_e9b3aab8, job_e7d26d68, job_f8620425, job_0a179263, job_838a019b, job_a5f5f285, job_a0738565, job_f1dde646, job_7ac55263, job_24ebd2a9, job_d6af9293, job_0f02eda5, job_9eac13dd, job_5048311c, job_e7cb5862, job_51d34564, job_77e92ecd"
user_038,company_020,AeroLogic Systems,Healthcare,21,9,"user_024, user_028, user_046, user_030, user_042, user_001, user_026, user_035, user_043",Advanced,83832,69,"job_fc6c4e22, job_1311f873, job_c8b60125, job_f062e3bb, job_18d0c8cb, job_ca5fbebc, job_617dca32, job_780c6fc1, job_f63df1ee, job_0e7453fe, job_8a96c513, job_172a8618, job_c4ff0e0d, job_ee892740, job_a817b38b, job_175314a7, job_2f29346d, job_a8cc0cae, job_a482972e, job_50401619, job_4086e23e"
