freelancer_id,name,experience_years,primary_category,experience_level,skills,past_projects_count,past_project_ids,companies_worked_with_count,company_ids,avg_earning_per_project,credibility_score,review_sample,total_reviews
user_022,Freelancer user_022,5,Backend Systems,Expert,"Flutter, Figma, UI/UX",7,"job_909a25f0, job_367857a5, job_a51909d3, job_4e90bad5, job_0e2159e4, job_9bfe2236, job_fc6c4e22",7,"company_014, company_017, company_021, company_013, company_034, company_026, company_020",134912,76,Very professional; Strong problem-solving skills; Exceeded expectations,40
user_009,Freelancer user_009,9,Backend Systems,Advanced,"Django, UI/UX, Figma, Machine Learning, Node.js",12,"job_d71cf70e, job_c2801be0, job_cc34dd4b, job_0bad3c99, job_8b5bfaed, job_ae71a68d, job_cdb80ceb, job_385c3114, job_109a4c4c, job_bb0d7505, job_731e29f1, job_95dcd692",11,"company_035, company_027, company_029, company_036, company_025, company_037, company_012, company_015, company_033, company_013, company_038",128008,72,Quality could be improved; Timely communication; Excellent delivery,9
user_027,Freelancer user_027,5,ML/AI,Advanced,"AWS, Figma, DevOps",12,"job_c47d20f3, job_9ba70b22, job_796d7558, job_67178b0b, job_0004a759, job_a2a5ce1b, job_519a31cc, job_a8a4395a, job_01bb4e0d, job_6a9d149b, job_d6af9293, job_838a019b",10,"company_036, company_006, company_021, company_011, company_012, company_039, company_032, company_007, company_030, company_031",88856,56,Very professional; Strong problem-solving skills; Quality could be improved,9
user_034,Freelancer user_034,4,Backend Systems,Beginner,"Figma, Python, AWS, Machine Learning",18,"job_a922fd85, job_3763a58d, job_2b586431, job_42fe0a0a, job_5ef92acf, job_bda198b3, job_32b3d8a1, job_ef1d436e, job_6dfd2208, job_ed3f8567, job_372d7601, job_080d1cbc, job_3af7aba0, job_d9f45011, job_9bfe2236, job_64e71802, job_1de2a971, job_bbdb8a3c",17,"company_009, company_033, company_004, company_007, company_002, company_025, company_023, company_037, company_038, company_003, company_036, company_005, company_013, company_026, company_015, company_014, company_022",115867,58,Excellent delivery; Reliable freelancer; Exceeded expectations,8
user_044,Freelancer user_044,7,Graphic Design,Beginner,"UI/UX, Django, Next.js, Node.js",15,"job_7e445da5, job_d8c82b2c, job_726daea9, job_4a61a173, job_ae71a68d, job_a9c893fa, job_4d093d6d, job_faf79b49, job_2c4ae5d0, job_efb69937, job_ac65cef2, job_8d2b5a90, job_f11748d3, job_8f285a8b, job_e007ee4f",12,"company_005, company_040, company_024, company_015, company_037, company_035, company_002, company_006, company_021, company_019, company_036, company_025",114750,44,Strong problem-solving skills; Exceeded expectations; Quality could be improved,13
user_013,Freelancer user_013,2,Web Development,Intermediate,"Flutter, Machine Learning, UI/UX, React",13,"job_f4f77a1a, job_e8ae1480, job_fbde6b43, job_a2a5ce1b, job_a360a195, job_ff6a6644, job_35903f42, job_c7e2efef, job_0bedbdc5, job_3c6dbb60, job_817227a6, job_7ca55a85, job_f0363585",12,"company_011, company_026, company_017, company_039, company_003, company_006, company_027, company_028, company_016, company_007, company_005, company_009",106550,53,Quality could be improved; Strong problem-solving skills; Timely communication,7
user_007,Freelancer user_007,8,ML/AI,Expert,"DevOps, Django, Machine Learning, Node.js, Figma",11,"job_47c528e7, job_c2801be0, job_136c0a13, job_d9f45011, job_cdb80ceb, job_0e7453fe, job_2c419289, job_29370dbb, job_54e63c1c, job_2b586431, job_ac6a5599",9,"company_001, company_027, company_017, company_013, company_012, company_020, company_007, company_004, company_039",134502,53,Timely communication; Excellent delivery; Reliable freelancer,42
user_018,Freelancer user_018,1,Data Analysis,Intermediate,"Node.js, FastAPI, UI/UX, Flutter, Python, React",15,"job_97dd5d72, job_cd6f96fc, job_d71cf70e, job_f1dde646, job_3e7df80b, job_200ee68a, job_014ea0be, job_47c528e7, job_e69a4240, job_ae5de584, job_551738a0, job_ae7c888a, job_dc438ae2, job_ad3dbaa4, job_6cd1f975",14,"company_037, company_029, company_035, company_031, company_030, company_004, company_001, company_007, company_012, company_008, company_016, company_021, company_039, company_040",109404,58,Excellent delivery; Strong problem-solving skills; Timely communication,49
user_006,Freelancer user_006,5,Graphic Design,Beginner,"Node.js, UI/UX, Figma",12,"job_4e90bad5, job_a87afd61, job_47c528e7, job_8bf7a847, job_54e63c1c, job_4f094f89, job_489cca6b, job_e3f81860, job_0bedbdc5, job_b6938a11, job_93a8db3f, job_374c0ad7",11,"company_013, company_015, company_001, company_036, company_007, company_019, company_016, company_039, company_026, company_027, company_033",88434,55,Strong problem-solving skills; Excellent delivery; Quality could be improved,31
user_002,Freelancer user_002,8,Graphic Design,Intermediate,"React, Machine Learning, Next.js, Flutter",8,"job_7e68a349, job_12c682fd, job_183e8664, job_cdb80ceb, job_8591b0de, job_75967e8a, job_2e9641e6, job_edde9206",7,"company_008, company_032, company_024, company_012, company_006, company_037, company_040",115853,63,Exceeded expectations; Reliable freelancer; Very professional,34
user_047,Freelancer user_047,10,Data Analysis,Advanced,"Figma, Django, AWS, FastAPI, DevOps, Machine Learning",19,"job_e859cc69, job_cdb80ceb, job_ca15f87d, job_3da54b13, job_2e9641e6, job_0bf26a55, job_c15769d5, job_5108e965, job_1dab7818, job_7746bc9b, job_f4f77a1a, job_278f4fa1, job_172a8618, job_6529b296, job_b8158adc, job_0bad3c99, job_e5ecf7f6, job_744c0798, job_0004a759",17,"company_037, company_012, company_002, company_016, company_040, company_006, company_032, company_035, company_028, company_010, company_011, company_024, company_020, company_008, company_014, company_036, company_039",94067,53,Excellent delivery; Very professional; Quality could be improved,36
user_024,Freelancer user_024,7,Graphic Design,Expert,"Flutter, Figma, FastAPI, DevOps, AWS, Node.js",11,"job_fa2e8f8f, job_382a5a29, job_1c9cf30e, job_7c3eeb5b, job_909a25f0, job_864d3f48, job_cd3b9d26, job_e2b4e2ca, job_0004a759, job_a922fd85, job_817227a6",9,"company_040, company_038, company_029, company_034, company_014, company_012, company_035, company_009, company_007",122700,62,Quality could be improved; Exceeded expectations; Timely communication,20
user_003,Freelancer user_003,4,Web Development,Beginner,"Figma, FastAPI, AWS",18,"job_48e80ed8, job_95dcd692, job_c1aaf9cf, job_994bf925, job_10a065bf, job_0cc83a35, job_bdec8051, job_95a4e444, job_f53b59eb, job_c7e2efef, job_dbfa92c5, job_d0626658, job_7c3eeb5b, job_d55db898, job_862bbb16, job_864d3f48, job_ed2d1266, job_53d38778",16,"company_003, company_038, company_001, company_035, company_015, company_037, company_030, company_018, company_028, company_026, company_022, company_034, company_006, company_004, company_012, company_029",101421,45,Very professional; Reliable freelancer; Timely communication,10
user_039,Freelancer user_039,4,Backend Systems,Expert,"Next.js, AWS, Machine Learning, Flutter, UI/UX, Django",10,"job_d5c610d7, job_2219ba7a, job_ef1b88d6, job_e5cd7b2b, job_d6af9293, job_5fed7f7c, job_1ebe0d89, job_10701bd9, job_4009ba57, job_3cd5ce24",8,"company_027, company_030, company_023, company_018, company_031, company_026, company_036, company_010",107446,39,Quality could be improved; Excellent delivery; Very professional,33
user_041,Freelancer user_041,3,Graphic Design,Intermediate,"Machine Learning, Django, Python, Node.js, UI/UX",13,"job_489cca6b, job_1bfd995c, job_b7b54817, job_e301fc7e, job_24ebd2a9, job_cd6f96fc, job_5e0a18ca, job_f8de2172, job_2fb50ef3, job_f3801dfe, job_59d02547, job_c79d5f60, job_a7041c3a",12,"company_019, company_023, company_002, company_031, company_029, company_011, company_008, company_006, company_012, company_038, company_025, company_007",93736,71,Quality could be improved; Timely communication; Excellent delivery,34
user_042,Freelancer user_042,4,Data Analysis,Expert,"FastAPI, Next.js, AWS",14,"job_a8a4395a, job_b2778f4c, job_067ddbca, job_342d5fa3, job_7b4e53c8, job_b7bbb9e3, job_fbf0e06c, job_4e90bad5, job_744c0798, job_42ebb626, job_85652b2e, job_24a9814c, job_78e52d8c, job_7f62aa03",11,"company_007, company_038, company_001, company_011, company_005, company_014, company_034, company_013, company_032, company_033, company_015",107469,50,Exceeded expectations; Very professional; Excellent delivery,49
user_011,Freelancer user_011,5,ML/AI,Advanced,"Machine Learning, Next.js, React, AWS, Figma",8,"job_0f9d93d2, job_48eb2f3b, job_89fafcbd, job_edf9ac43, job_3d722b98, job_7c4baf2b, job_c8e59b77, job_c16799f7",8,"company_018, company_011, company_013, company_016, company_034, company_009, company_008, company_005",132834,44,Quality could be improved; Very professional; Exceeded expectations,41
user_005,Freelancer user_005,12,Mobile App,Intermediate,"Flutter, Node.js, AWS, UI/UX",16,"job_63a8176d, job_efb69937, job_93bac54b, job_adc95417, job_5d1a8b6c, job_0bf26a55, job_9fe9f14b, job_817811bc, job_7ba8b6d7, job_0ea3c00b, job_8d444d67, job_3f8c89e0, job_9409a295, job_9a5292ba, job_2b2e4d57, job_b17585b3",13,"company_017, company_021, company_014, company_006, company_039, company_026, company_027, company_040, company_005, company_036, company_007, company_001, company_011",88741,63,Strong problem-solving skills; Exceeded expectations; Excellent delivery,3
user_035,Freelancer user_035,10,ML/AI,Expert,"React, AWS, FastAPI, DevOps, Figma",12,"job_90d26f24, job_e9b75743, job_4312d624, job_218288bc, job_14c40e3b, job_19b62800, job_c99a818a, job_e987951c, job_ef1d436e, job_7696a09b, job_9ba70b22, job_9fff2b7d",9,"company_023, company_038, company_024, company_010, company_005, company_002, company_021, company_006, company_008",133530,51,Excellent delivery; Timely communication; Strong problem-solving skills,4
user_015,Freelancer user_015,9,ML/AI,Advanced,"Figma, Flutter, UI/UX, Python, Node.js",19,"job_26d53914, job_50b7f167, job_b647de54, job_d14f5475, job_7746bc9b, job_9e0aec55, job_42fe0a0a, job_9409a295, job_ecab16a2, job_ef95a3a6, job_080d1cbc, job_8a312afc, job_19c8fc2b, job_01bb4e0d, job_89e7fd2b, job_8b0b693b, job_8cfd8040, job_98ee3cce, job_cdb80ceb",16,"company_015, company_040, company_035, company_010, company_007, company_025, company_009, company_036, company_023, company_028, company_032, company_030, company_018, company_033, company_006, company_012",104883,46,Exceeded expectations; Strong problem-solving skills; Timely communication,34
user_004,Freelancer user_004,10,Mobile App,Expert,"AWS, Django, Next.js, FastAPI",9,"job_e5ecf7f6, job_967bf0f7, job_13bfcfc1, job_2eea06f2, job_f3801dfe, job_d025cf20, job_4e90bad5, job_aa019649, job_385c3114",9,"company_039, company_019, company_017, company_005, company_012, company_004, company_013, company_001, company_015",108501,38,Reliable freelancer; Exceeded expectations; Excellent delivery,9
user_001,Freelancer user_001,12,Web Development,Intermediate,"UI/UX, Machine Learning, React, DevOps, Python, Flutter",10,"job_8ee7e4b7, job_8cfd8040, job_f7b07279, job_45464032, job_c74458a7, job_649e5626, job_1311f873, job_325eba33, job_967bf0f7, job_d16a106d",10,"company_008, company_033, company_014, company_004, company_006, company_030, company_020, company_027, company_019, company_010",95531,43,Exceeded expectations; Quality could be improved; Excellent delivery,50
user_029,Freelancer user_029,6,Mobile App,Intermediate,"AWS, UI/UX, React, DevOps, Node.js",9,"job_7b4e53c8, job_0a3d9643, job_f761bbef, job_807cd451, job_54aa72d2, job_2e229df6, job_62691c7b, job_8961e764, job_89fafcbd",8,"company_005, company_036, company_021, company_024, company_029, company_037, company_035, company_013",139119,64,Exceeded expectations; Quality could be improved; Strong problem-solving skills,23
user_036,Freelancer user_036,2,Backend Systems,Intermediate,"Machine Learning, React, FastAPI, DevOps",14,"job_f42e8cbb, job_3c4a4f1b, job_cd3bba79, job_89fafcbd, job_5fed7f7c, job_adc95417, job_b206a0be, job_447885de, job_01a1a50c, job_3c6dbb60, job_d1939b05, job_dbfa92c5, job_649e5626, job_136c0a13",11,"company_029, company_027, company_039, company_013, company_026, company_006, company_002, company_021, company_016, company_030, company_017",100071,40,Reliable freelancer; Timely communication; Strong problem-solving skills,24
user_046,Freelancer user_046,7,Cloud Automation,Advanced,"Python, Figma, Flutter, UI/UX",13,"job_27ed1c98, job_8ca97962, job_ea5a0720, job_c16799f7, job_2eea06f2, job_10701bd9, job_2fb50ef3, job_b640fb3c, job_7ca55a85, job_ad3dbaa4, job_48d12fd9, job_14dfedf9, job_a2835d8d",10,"company_035, company_034, company_010, company_005, company_036, company_006, company_029, company_039, company_026, company_031",117610,43,Very professional; Strong problem-solving skills; Excellent delivery,43
user_037,Freelancer user_037,6,Graphic Design,Expert,"Figma, Node.js, Flutter, FastAPI, Django",14,"job_ce1541eb, job_bbdb8a3c, job_838a019b, job_617dca32, job_209e60a0, job_e859cc69, job_29370dbb, job_87e0f4ab, job_10a065bf, job_5b78b645, job_2b244ff8, job_31538d10, job_99ecd675, job_ac65cef2",12,"company_033, company_022, company_031, company_020, company_032, company_037, company_013, company_015, company_005, company_016, company_011, company_024",102313,57,Reliable freelancer; Very professional; Excellent delivery,26
user_008,Freelancer user_008,6,Cloud Automation,Beginner,"React, Python, Flutter, DevOps, Node.js, FastAPI",8,"job_ff1aab77, job_f499717d, job_d32acfa7, job_28e2088f, job_62691c7b, job_78cb50a4, job_cb118ecd, job_9409a295",8,"company_033, company_024, company_021, company_014, company_037, company_030, company_023, company_007",86452,66,Timely communication; Excellent delivery; Strong problem-solving skills,28
user_023,Freelancer user_023,5,Mobile App,Intermediate,"Python, DevOps, Node.js, Next.js, FastAPI, Django",9,"job_325eba33, job_540119a6, job_21d82ed3, job_bfa66472, job_39740d34, job_4e90bad5, job_c610f082, job_2e9641e6, job_ae71a68d",8,"company_027, company_026, company_004, company_016, company_013, company_030, company_040, company_037",98913,57,Exceeded expectations; Very professional; Strong problem-solving skills,38
user_049,Freelancer user_049,2,ML/AI,Advanced,"FastAPI, DevOps, Figma",15,"job_1a20400d, job_e8ae1480, job_5db8f20b, job_1bfd995c, job_d8c82b2c, job_0bad3c99, job_f696e8ee, job_3763a58d, job_dda1a061, job_5fdc2dbd, job_54e63c1c, job_21f1499d, job_967bf0f7, job_b7bbb9e3, job_e5cd7b2b",12,"company_012, company_026, company_014, company_023, company_040, company_036, company_003, company_033, company_008, company_019, company_007, company_018",128327,53,Very professional; Exceeded expectations; Quality could be improved,46
user_050,Freelancer user_050,6,ML/AI,Intermediate,"Node.js, UI/UX, Python, Next.js, Machine Learning, React",15,"job_370b7116, job_ef1d436e, job_54a2344d, job_97dd5d72, job_a7ba7b6b, job_e33c4375, job_26d53914, job_04fca0b0, job_89fafcbd, job_2e345474, job_a8571ee3, job_cbc3e5a9, job_7680059c, job_dda1a061, job_5fdc2dbd",13,"company_034, company_023, company_006, company_037, company_015, company_008, company_003, company_013, company_018, company_025, company_021, company_038, company_019",112441,49,Exceeded expectations; Excellent delivery; Quality could be improved,26
user_032,Freelancer user_032,12,Data Analysis,Advanced,"Flutter, React, Machine Learning",13,"job_718c65bd, job_9bfe2236, job_a27db453, job_a922fd85, job_967bf0f7, job_bd2fdcc5, job_fbde6b43, job_02741c21, job_17829f1b, job_bf420086, job_87e0f4ab, job_9b92a8a7, job_6e287cdf",11,"company_040, company_026, company_028, company_009, company_019, company_030, company_017, company_015, company_010, company_033, company_022",104886,41,Quality could be improved; Very professional; Timely communication,14
user_025,Freelancer user_025,1,Data Analysis,Advanced,"Python, Machine Learning, FastAPI",17,"job_ef1b88d6, job_278f4fa1, job_8ee7e4b7, job_10c5dc86, job_50d5cdf4, job_967bf0f7, job_8f25094e, job_0709b32a, job_6cd1f975, job_864d3f48, job_feb77b73, job_07cb1b3a, job_c2801be0, job_8e52e0d2, job_b17f38f3, job_780c6fc1, job_37d854c9",16,"company_023, company_024, company_008, company_002, company_028, company_019, company_005, company_014, company_040, company_012, company_038, company_027, company_022, company_037, company_020, company_021",90193,54,Excellent delivery; Exceeded expectations; Quality could be improved,20
user_043,Freelancer user_043,7,ML/AI,Beginner,"Next.js, Django, Node.js, AWS, Python, FastAPI",13,"job_b206a0be, job_ad3dbaa4, job_a3c43631, job_e9b75743, job_5d48430d, job_26d53914, job_5b78b645, job_52b442d7, job_55b361e5, job_6a9d149b, job_41c8ee16, job_f51d2980, job_617dca32",12,"company_027, company_039, company_026, company_038, company_015, company_022, company_028, company_024, company_030, company_040, company_011, company_020",107967,69,Exceeded expectations; Timely communication; Reliable freelancer,31
user_014,Freelancer user_014,10,ML/AI,Expert,"FastAPI, React, Python, UI/UX",17,"job_19b8557a, job_489cca6b, job_f0363585, job_28e2088f, job_6e287cdf, job_3d722b98, job_5ae6254b, job_0004a759, job_b084fde5, job_3a1c3da3, job_276113cb, job_649e5626, job_a7693143, job_0cc83a35, job_f53b59eb, job_ccde1678, job_b17edd0b",15,"company_024, company_019, company_009, company_014, company_010, company_034, company_028, company_012, company_001, company_033, company_030, company_037, company_003, company_039, company_004",118845,48,Exceeded expectations; Strong problem-solving skills; Very professional,39
user_010,Freelancer user_010,12,ML/AI,Intermediate,"Machine Learning, Python, Figma, AWS",4,"job_b6938a11, job_42fe0a0a, job_3e81b065, job_3a1c3da3",4,"company_026, company_007, company_021, company_019",109297,20,Reliable freelancer; Timely communication; Quality could be improved,28
user_048,Freelancer user_048,1,Data Analysis,Advanced,"AWS, React, Node.js, FastAPI",9,"job_d1939b05, job_cf2ed11e, job_4ebd22f5, job_63a8176d, job_3c4a4f1b, job_276113cb, job_50b7f167, job_f16703ab, job_fc7f7a9a",9,"company_021, company_012, company_038, company_017, company_027, company_033, company_040, company_030, company_014",110051,70,Strong problem-solving skills; Excellent delivery; Reliable freelancer,29
user_012,Freelancer user_012,4,ML/AI,Advanced,"FastAPI, Django, Node.js, Figma, React",14,"job_c98ea564, job_4fc2e31b, job_a962ee07, job_adc95417, job_862bbb16, job_aa159d8b, job_a482972e, job_c47093a1, job_b17f38f3, job_9b92a8a7, job_a8571ee3, job_0bf26a55, job_067ddbca, job_8961e764",12,"company_011, company_019, company_015, company_006, company_004, company_020, company_008, company_037, company_022, company_025, company_001, company_035",87853,59,Exceeded expectations; Reliable freelancer; Timely communication,12
user_026,Freelancer user_026,9,Cloud Automation,Advanced,"FastAPI, Machine Learning, DevOps",13,"job_31538d10, job_51d34564, job_d372d4b2, job_b95a65ff, job_0cc83a35, job_de96f2d2, job_01a1a50c, job_dfb6627a, job_4fc2e31b, job_555a716c, job_6c9ef63f, job_b336dc0e, job_7520e10d",12,"company_016, company_031, company_036, company_011, company_037, company_023, company_021, company_028, company_019, company_030, company_018, company_017",128369,52,Timely communication; Exceeded expectations; Quality could be improved,6
user_021,Freelancer user_021,9,Graphic Design,Expert,"React, Machine Learning, DevOps, Node.js, Next.js, Figma",11,"job_e301fc7e, job_32937e27, job_b17edd0b, job_817227a6, job_4312d624, job_1943949c, job_3a1c3da3, job_7358eaff, job_666e294c, job_90189350, job_dbfa92c5",9,"company_031, company_004, company_007, company_024, company_022, company_019, company_037, company_013, company_026",121310,54,Timely communication; Very professional; Strong problem-solving skills,32
user_045,Freelancer user_045,10,Graphic Design,Advanced,"Machine Learning, Flutter, FastAPI",12,"job_0cc83a35, job_51d34564, job_5468ea74, job_c2801be0, job_796d7558, job_f3801dfe, job_109a4c4c, job_281fb82f, job_474fb1e2, job_2b07d1e3, job_e10ba43e, job_9daab9a5",11,"company_037, company_031, company_015, company_027, company_021, company_012, company_033, company_036, company_011, company_029, company_002",112549,69,Exceeded expectations; Very professional; Excellent delivery,49
user_020,Freelancer user_020,4,Data Analysis,Advanced,"Machine Learning, Next.js, Django, AWS",13,"job_ce1541eb, job_faafa580, job_0702cb8c, job_1764b349, job_e8ae1480, job_a3c43631, job_de7c5695, job_c4c576ab, job_4f2952be, job_95dcd692, job_8e52e0d2, job_4fc2e31b, job_ca5fbebc",11,"company_033, company_002, company_030, company_009, company_026, company_022, company_028, company_013, company_038, company_019, company_020",118615,53,Timely communication; Strong problem-solving skills; Reliable freelancer,33
user_019,Freelancer user_019,6,Graphic Design,Beginner,"Node.js, Figma, React",14,"job_e159603d, job_90d26f24, job_7ff3613c, job_f0363585, job_ba190b6c, job_2c4ae5d0, job_5468ea74, job_067ddbca, job_cd6f96fc, job_a97902f8, job_0bf26a55, job_8e52e0d2, job_024cd613, job_3c9b2f6d",12,"company_036, company_023, company_034, company_009, company_006, company_015, company_001, company_029, company_035, company_022, company_018, company_031",104337,51,Strong problem-solving skills; Timely communication; Very professional,35
user_031,Freelancer user_031,5,Cloud Automation,Beginner,"Flutter, Next.js, FastAPI, DevOps, Django, UI/UX",9,"job_20f619ae, job_ee892740, job_136c0a13, job_9fd31a21, job_fd035207, job_aa019649, job_26d53914, job_99fc243d, job_37286c67",9,"company_035, company_020, company_017, company_003, company_022, company_001, company_015, company_039, company_006",113758,51,Excellent delivery; Very professional; Reliable freelancer,40
user_030,Freelancer user_030,7,ML/AI,Advanced,"Next.js, DevOps, Flutter, Node.js",13,"job_0709b32a, job_d71cf70e, job_2e345474, job_649e5626, job_71daa910, job_012a7300, job_b7b54817, job_ae3dcf3e, job_4086e23e, job_bfbf6217, job_209e60a0, job_2f29346d, job_9b24f9d9",11,"company_014, company_035, company_018, company_030, company_033, company_012, company_002, company_020, company_034, company_032, company_001",114058,55,Strong problem-solving skills; Exceeded expectations; Quality could be improved,20
user_028,Freelancer user_028,7,ML/AI,Advanced,"DevOps, FastAPI, UI/UX, Flutter, Machine Learning, Django",10,"job_efb69937, job_702cc8c7, job_19c8fc2b, job_105a2a83, job_44058ae1, job_87cb4ddd, job_b17585b3, job_fe038d3b, job_bc35e72d, job_20ba9012",9,"company_021, company_022, company_028, company_033, company_032, company_007, company_039, company_005, company_017",103239,59,Very professional; Quality could be improved; Strong problem-solving skills,15
user_038,Freelancer user_038,5,Web Development,Beginner,"UI/UX, FastAPI, React, Next.js, DevOps",11,"job_ed4c6480, job_c8e59b77, job_6a9d149b, job_325eba33, job_7beacf37, job_e7d26d68, job_d59e8c1f, job_4f094f89, job_7f0c7915, job_e79ded32, job_5b78b645",8,"company_025, company_008, company_030, company_027, company_031, company_010, company_036, company_022",123504,29,Quality could be improved; Strong problem-solving skills; Very professional,43
user_040,Freelancer user_040,4,Data Analysis,Beginner,"AWS, Flutter, UI/UX, Next.js",11,"job_3d0cae83, job_105a2a83, job_0e2159e4, job_014b067c, job_e859cc69, job_39214be1, job_7eeac92d, job_8f285a8b, job_6e287cdf, job_726daea9, job_e3315574",10,"company_024, company_022, company_034, company_025, company_037, company_019, company_038, company_036, company_010, company_033",95527,61,Very professional; Reliable freelancer; Excellent delivery,42
user_017,Freelancer user_017,1,Graphic Design,Advanced,"DevOps, Next.js, UI/UX",9,"job_26483a45, job_5fdc2dbd, job_00e44720, job_a477e622, job_f4f77a1a, job_ed968d77, job_ce1541eb, job_54181142, job_e5ecf7f6",9,"company_009, company_019, company_010, company_001, company_011, company_016, company_033, company_021, company_039",92179,57,Strong problem-solving skills; Very professional; Excellent delivery,5
user_033,Freelancer user_033,4,Web Development,Beginner,"Python, Machine Learning, Figma, FastAPI, Next.js",10,"job_4d093d6d, job_10701bd9, job_45464032, job_e9b75743, job_a8cc0cae, job_0816d656, job_b223d924, job_7358eaff, job_cdb80ceb, job_5b78b645",10,"company_002, company_036, company_004, company_038, company_020, company_040, company_029, company_037, company_012, company_022",86543,61,Quality could be improved; Strong problem-solving skills; Reliable freelancer,27
user_016,Freelancer user_016,11,ML/AI,Intermediate,"Python, React, DevOps, Django, Flutter, AWS",9,"job_525d2444, job_9601037d, job_bfbf6217, job_de4e2563, job_1943949c, job_faafa580, job_4dec9bb1, job_41c8ee16, job_b17f38f3",8,"company_032, company_009, company_034, company_001, company_022, company_002, company_040, company_037",97774,58,Reliable freelancer; Quality could be improved; Strong problem-solving skills,3
